Int_ID,Global_ID,Sample_ID,Sample_Description,Oil_Field,Facility_Name,County,Sampling_Date,Link,Source_Type,Detect_Limit,Datum,Latitude,Longitude,Geography_Description,Alkalinity_CaCO3,HCO3Alk_CaCO3,CO3Alk_CaCO3,OHAlk_CaCO3,Hardness_CaCO3,Specific_Conductance,TDS,Temp_C,pH,HCO3,CO3,OH,Br,Cl,SO4,Ca,Mg,K,Na,B,As,Ba,Fe,Mn,Se,Sr,Deuterium,Oxygen_18,NH3,NH4,NO3,Oil_Grease
261,L10005855542,DCT-1,Port on the Tank 1 discharge pipeline to impoundments,COALINGA,"COALINGA OIL FIELD, PENN-ZIER LEASE",Fresno,10/24/2017,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.211741,-120.395336,FACILITY LOCATION - DERIVED,740,740,<10,<10,,6600,4500,,5.04,902.8,<6.0,<3.4,,1400,600,42,28,38,1400,57,4.2,0.3,0.07,88,13,1.6,-59.8,-6.08,,,<3.54,190
262,L10005855542,DCT-1,Port on the Tank 1 discharge pipeline to impoundments,COALINGA,"COALINGA OIL FIELD, PENN-ZIER LEASE",Fresno,1/18/2018,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.211741,-120.395336,FACILITY LOCATION - DERIVED,700,700,<10,<10,,6300,4300,,6.24,854,<6.0,<3.4,,1500,620,38,31,44,1500,60,4.2,0.28,<0.05,79,17,1.4,-59.6,-6.06,,,<3.54,180
263,L10005855542,DCT-1,Port on the Tank 1 discharge pipeline to impoundments,COALINGA,"COALINGA OIL FIELD, PENN-ZIER LEASE",Fresno,4/19/2018,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.211741,-120.395336,FACILITY LOCATION - DERIVED,660,660,<10,<10,,6800,4700,,6.41,805.2,<6.0,<3.4,,1600,700,35,29,38,1500,54,2.6,0.22,<0.05,91,19,1.5,-58.5,-5.96,,,<354,6.8
264,L10005855542,DCT-1,Port on the Tank 1 discharge pipeline to impoundments,COALINGA,"COALINGA OIL FIELD, PENN-ZIER LEASE",Fresno,7/19/2018,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.211741,-120.395336,FACILITY LOCATION - DERIVED,690,690,<10,<10,,7200,4700,,6.55,841.8,<6.0,<3.4,,1600,740,38,32,46,1500,60,4.1,0.24,<0.05,81,22,1.5,-58.3,-5.87,,,<354,58
265,L10005855542,DCT-1,Port on the Tank 1 discharge pipeline to impoundments,COALINGA,"COALINGA OIL FIELD, PENN-ZIER LEASE",Fresno,10/18/2018,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.211741,-120.395336,FACILITY LOCATION - DERIVED,700,700,<10,<10,,7600,5000,,6.08,854,<6.0,<3.4,,1600,710,40,35,42,1500,65,<4,0.12,<0.10,94,12,1.5,-60.1,-6.14,,,<3.54,12
266,L10005855542,DCT-1,Port on the Tank 1 discharge pipeline to impoundments,COALINGA,"COALINGA OIL FIELD, PENN-ZIER LEASE",Fresno,1/21/2019,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.211741,-120.395336,FACILITY LOCATION - DERIVED,730,730,<10,<10,,6900,4900,,7.13,890.6,<6.0,<3.4,,1300,790,41,36,49,1700,63,4,0.14,0.083,76,20,1.5,-60,-6.04,,,<89,53
267,L10005855542,PZ-P4,Wastewater from impoundment 4,COALINGA,"COALINGA OIL FIELD, PENN-ZIER LEASE",Fresno,12/21/2016,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.211741,-120.395336,FACILITY LOCATION - DERIVED,660,660,<10,<10,,5900,4700,,7.85,805.2,<6.0,<3.4,,1500,630,38,24,39,1400,57,<10,0.123,<0.5,141,30.4,1.6,-55.2,-5.16,,,<3.54,20
268,L10005855542,PZ-P4,Wastewater from impoundment 4,COALINGA,"COALINGA OIL FIELD, PENN-ZIER LEASE",Fresno,2/21/2017,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.211741,-120.395336,FACILITY LOCATION - DERIVED,690,690,<10,<10,,7500,4700,,6.44,841.8,<6.0,<3.4,,1500,600,41,34,52,1500,65,20.8,0.13,<0.5,137,27.2,1.8,-53.6,-5.07,,,<3.54,6.6
269,L10005855542,PZ-P2,Wastewater from impoundment 2,COALINGA,"COALINGA OIL FIELD, PENN-ZIER LEASE",Fresno,7/20/2017,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.211741,-120.395336,FACILITY LOCATION - DERIVED,620,620,<10,<10,,7700,4900,,7.11,756.4,<6.0,<3.4,,1800,770,42,34,52,1600,61,5.6,0.22,0.054,93,23,1.5,-55.9,-4.9,,,<3.54,14
270,L10005855542,PZ-P2,Wastewater from impoundment 2,COALINGA,"COALINGA OIL FIELD, PENN-ZIER LEASE",Fresno,10/24/2017,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.211741,-120.395336,FACILITY LOCATION - DERIVED,750,750,<10,<10,,6800,4500,,5.62,915,<6.0,<3.4,,1500,650,39,29,42,1500,59,4,0.16,0.1,89,14,1.6,-57.8,-5.66,,,<3.54,11
271,L10005855542,PZ-P2,Wastewater from impoundment 2,COALINGA,"COALINGA OIL FIELD, PENN-ZIER LEASE",Fresno,7/19/2018,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.211741,-120.395336,FACILITY LOCATION - DERIVED,680,680,<10,<10,,7400,5000,,7.08,829.6,<6.0,<3.4,,1700,810,40,33,48,1600,60,4.8,0.2,<0.05,110,27,1.6,-56.1,-5.28,,,<354,7.5
272,L10005855542,PZ-P4,Wastewater from impoundment 4,COALINGA,"COALINGA OIL FIELD, PENN-ZIER LEASE",Fresno,1/18/2018,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.211741,-120.395336,FACILITY LOCATION - DERIVED,680,680,<10,<10,,6400,4400,,7.91,829.6,<6.0,<3.4,,1500,710,39,29,42,1500,60,5.9,0.36,<0.05,140,24,1.9,-56.3,-5.22,,,<3.54,7.8
273,L10005855542,PZ-P4,Wastewater from impoundment 4,COALINGA,"COALINGA OIL FIELD, PENN-ZIER LEASE",Fresno,1/21/2019,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.211741,-120.395336,FACILITY LOCATION - DERIVED,690,690,<10,<10,,7100,4900,,8.39,841.8,<6.0,<3.4,,1400,790,43,37,50,1800,64,4.5,0.13,0.2,89,19,1.6,-54.4,-4.86,,,<3.54,5.2
274,L10005855542,PZ-P5,Wastewater from impoundment 5,COALINGA,"COALINGA OIL FIELD, PENN-ZIER LEASE",Fresno,4/20/2017,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.211741,-120.395336,FACILITY LOCATION - DERIVED,710,710,<10,<10,,7600,4900,,7.85,866.2,<6.0,<3.4,,1900,770,40,34,44,1600,57,8.8,0.16,0.12,110,31,1.5,-53.1,-4.58,,,<3.54,6.6
275,L10005855542,PZ-P5,Wastewater from impoundment 5,COALINGA,"COALINGA OIL FIELD, PENN-ZIER LEASE",Fresno,4/19/2018,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.211741,-120.395336,FACILITY LOCATION - DERIVED,670,670,<10,<10,,7200,5000,,7.5,817.4,<6.0,<3.4,,1700,800,39,33,43,1700,62,3.2,0.3,<0.05,110,22,1.5,-52.7,-4.54,,,<3.54,<5.0
276,L10005855542,PZ-P5,Wastewater from impoundment 5,COALINGA,"COALINGA OIL FIELD, PENN-ZIER LEASE",Fresno,10/18/2018,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.211741,-120.395336,FACILITY LOCATION - DERIVED,740,740,<10,<10,,8000,5100,,8.17,902.8,<6.0,<3.4,,1800,830,42,35,48,1600,71,<4,0.13,<0.10,110,14,1.6,-52.7,-4.26,,,<3.54,10
277,L10008862957,CMS-DCT2,Port on the Tank 2 discharge pipeline to impoundment 1,COALINGA,"COALINGA OIL FIELD, CMS-AZTEC LEASE",Fresno,12/21/2016,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.223994,-120.380451,FACILITY LOCATION - DERIVED,720,720,<10,<10,,5200,3500,,7.2,878.4,<6.0,<3.4,,1000,460,30,15,37,1200,56,<10,0.0844,<.5,35,19.4,1.5,-64.4,-6.67,,,<3.54,260
278,L10008862957,CMS-DCT2,Port on the Tank 2 discharge pipeline to impoundment 1,COALINGA,"COALINGA OIL FIELD, CMS-AZTEC LEASE",Fresno,2/21/2017,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.223994,-120.380451,FACILITY LOCATION - DERIVED,750,750,<10,<10,,5800,3700,,5.88,915,<6.0,<3.4,,1100,460,34,19,41,1200,65,17.3,0.0913,<.5,58,19.3,1.3,-62.9,-6.49,,,<3.54,160
279,L10008862957,CMS-DCT2,Port on the Tank 2 discharge pipeline to impoundment 1,COALINGA,"COALINGA OIL FIELD, CMS-AZTEC LEASE",Fresno,4/20/2017,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.223994,-120.380451,FACILITY LOCATION - DERIVED,800,800,<10,<10,,5700,3900,,7.44,976,<6.0,<3.4,,1200,520,31,18,32,1200,50,6.1,0.13,0.075,50,20,1.2,-62.6,-6.31,,,<3.54,62
280,L10008862957,CMS-DCT2,Port on the Tank 2 discharge pipeline to impoundment 1,COALINGA,"COALINGA OIL FIELD, CMS-AZTEC LEASE",Fresno,7/20/2017,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.223994,-120.380451,FACILITY LOCATION - DERIVED,720,720,<10,<10,,5800,3800,,7.06,878.4,<6.0,<3.4,,1200,510,31,17,33,1200,53,3.5,0.23,1.7,83,11,1.2,-63.2,-6.28,,,<3.54,88
281,L10008862957,CMS-DCT2,Port on the Tank 2 discharge pipeline to impoundment 1,COALINGA,"COALINGA OIL FIELD, CMS-AZTEC LEASE",Fresno,10/24/2017,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.223994,-120.380451,FACILITY LOCATION - DERIVED,740,740,<10,<10,,5500,3700,,5.6,902.8,<6.0,<3.4,,1100,450,47,18,34,1100,52,2.2,0.16,0.19,95,7.8,1.5,-63.3,-6.44,,,<3.54,370
282,L10008862957,CMS-DCT2,Port on the Tank 2 discharge pipeline to impoundment 1,COALINGA,"COALINGA OIL FIELD, CMS-AZTEC LEASE",Fresno,1/18/2018,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.223994,-120.380451,FACILITY LOCATION - DERIVED,680,680,<10,<10,,5100,3400,,6.51,829.6,<6.0,<3.4,,1000,430,31,14,34,1200,53,2,0.24,<0.05,35,9.7,1.2,-63.4,-6.58,,,<3.54,54
283,L10008862957,CMS-DCT2,Port on the Tank 2 discharge pipeline to impoundment 1,COALINGA,"COALINGA OIL FIELD, CMS-AZTEC LEASE",Fresno,4/19/2018,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.223994,-120.380451,FACILITY LOCATION - DERIVED,710,710,<10,<10,,5400,3800,,6.65,866.2,<6.0,<3.4,,1000,430,32,17,34,1300,55,<2,0.28,<0.05,100,11,1.3,-62.8,-6.38,,,<354,180
284,L10008862957,CMS-DCT2,Port on the Tank 2 discharge pipeline to impoundment 1,COALINGA,"COALINGA OIL FIELD, CMS-AZTEC LEASE",Fresno,7/19/2018,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.223994,-120.380451,FACILITY LOCATION - DERIVED,650,650,<10,<10,,5400,3500,,6.88,793,<6.0,<3.4,,1000,480,40,17,37,1100,51,2.7,0.25,<0.05,67,14,1.4,-62.8,-6.5,,,<354,47
285,L10008862957,CMS-DCT2,Port on the Tank 2 discharge pipeline to impoundment 1,COALINGA,"COALINGA OIL FIELD, CMS-AZTEC LEASE",Fresno,10/18/2018,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.223994,-120.380451,FACILITY LOCATION - DERIVED,740,740,<10,<10,,5700,3900,,5.74,902.8,<6.0,<3.4,,1200,540,30,17,38,1200,54,<4,0.095,<0.10,42,7,1.1,-62.2,-6.46,,,<3.54,140
286,L10008862957,CMS-DCT2,Port on the Tank 2 discharge pipeline to impoundment 1,COALINGA,"COALINGA OIL FIELD, CMS-AZTEC LEASE",Fresno,1/21/2019,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/6175096988/L10005855542.PDF,PDF,,NAD 83,36.223994,-120.380451,FACILITY LOCATION - DERIVED,750,750,<10,<10,,7000,4700,,7.21,915,<6.0,<3.4,,1400,770,40,35,47,1700,59,4.2,0.14,0.082,83,14,1.6,-59.6,-6.04,,,<89,6.7
287,L10008862957,CMS-P2,Wastewater from impoundment 2,COALINGA,"COALINGA OIL FIELD, CMS-AZTEC LEASE",Fresno,12/21/2016,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/6314785897/L10005855542.PDF,PDF,,NAD 83,36.223994,-120.380451,FACILITY LOCATION - DERIVED,670,670,<10,<10,,5600,3700,,8.38,817.4,<6.0,<3.4,,1000,570,36,17,41,1300,62,<10,0.0956,<.5,74.5,20.9,1.4,-57,-5.02,,,<3.54,36
288,L10008862957,CMS-P2,Wastewater from impoundment 2,COALINGA,"COALINGA OIL FIELD, CMS-AZTEC LEASE",Fresno,2/21/2017,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/6314785897/L10005855542.PDF,PDF,,NAD 83,36.223994,-120.380451,FACILITY LOCATION - DERIVED,490,490,<10,<10,,4500,3000,,7.18,597.8,<6.0,<3.4,,770,430,31,15,32,930,49,19.9,0.0853,<.5,167,12.8,1.1,-56.4,-5.81,,,<3.54,6.7
289,L10008862957,CMS-P2,Wastewater from impoundment 2,COALINGA,"COALINGA OIL FIELD, CMS-AZTEC LEASE",Fresno,4/20/2017,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/6314785897/L10005855542.PDF,PDF,,NAD 83,36.223994,-120.380451,FACILITY LOCATION - DERIVED,700,700,<10,<10,,6100,4100,,8.42,854,<6.0,<3.4,,1300,660,35,20,36,1300,56,7.1,0.13,0.17,79,20,1.3,-52.5,-4.06,,,<3.54,12
290,L10008862957,CMS-P2,Wastewater from impoundment 2,COALINGA,"COALINGA OIL FIELD, CMS-AZTEC LEASE",Fresno,7/20/2017,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/6314785897/L10005855542.PDF,PDF,,NAD 83,36.223994,-120.380451,FACILITY LOCATION - DERIVED,680,680,<10,<10,,6100,4000,,8.47,829.6,<6.0,<3.4,,1200,650,34,19,40,1300,62,4.6,0.33,0.09,39,12,1.2,-56.6,-4.2,,,<3.54,11
291,L10008862957,CMS-P2,Wastewater from impoundment 2,COALINGA,"COALINGA OIL FIELD, CMS-AZTEC LEASE",Fresno,10/24/2017,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/6314785897/L10005855542.PDF,PDF,,NAD 83,36.223994,-120.380451,FACILITY LOCATION - DERIVED,770,770,<10,<10,,5500,3600,,6.47,939.4,<6.0,<3.4,,1100,490,31,16,33,1200,52,3.8,0.11,0.078,270,9.7,1.3,-62,-6,,,<3.54,62
292,L10008862957,CMS-P2,Wastewater from impoundment 2,COALINGA,"COALINGA OIL FIELD, CMS-AZTEC LEASE",Fresno,1/18/2018,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/6314785897/L10005855542.PDF,PDF,,NAD 83,36.223994,-120.380451,FACILITY LOCATION - DERIVED,610,610,<10,<10,,5000,3100,,7.81,744.2,<6.0,<3.4,,1000,480,31,14,34,1100,52,2.4,0.25,<0.05,110,8.5,1.1,-64.4,-6.56,,,<3.54,11
293,L10008862957,CMS-P2,Wastewater from impoundment 2,COALINGA,"COALINGA OIL FIELD, CMS-AZTEC LEASE",Fresno,4/19/2018,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/6314785897/L10005855542.PDF,PDF,,NAD 83,36.223994,-120.380451,FACILITY LOCATION - DERIVED,600,600,<10,<10,,5200,3600,,7.93,732,<6.0,<3.4,,1000,600,35,17,29,1200,48,2.1,0.31,0.071,150,12,1.1,-55.5,-4.9,,,<354,11
294,L10004438026,PW-01 (17-09-1105-1),Sample from clarifier discharge line,CHICO-MARTINEZ,"CHICO-MARTINEZ OIL FIELD, MITCHEL LEASE",Kern,9/14/2017,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/9836149752/L10004438026.PDF,PDF,"RL, MDL, PQL",NAD 83,35.441618,-119.78819,DERIVED LOCATION OF DISCHARGE VALVE (APPROXIMATE SAMPLING LOCATION),2040,2040,<1.0,<1.0,,15000,8720,,6.83,2488.8,<0.60,<0.34,,4000,51,80.5,93.4,203,3250,53.2,1.18,1.33,0.295,82.3,2.88,4.66,-54.71,-4.54,158.6,,<2.22,
295,L10004438026,PW-01 (17-11-1426-1),Sample from clarifier discharge line,CHICO-MARTINEZ,"CHICO-MARTINEZ OIL FIELD, MITCHEL LEASE",Kern,11/16/2017,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/3995338141/L10004438026.PDF,PDF,"RL, PQL",NAD 83,35.441618,-119.78819,DERIVED LOCATION OF DISCHARGE VALVE (APPROXIMATE SAMPLING LOCATION),1980,1980,<1.0,<1.0,,15000,8020,,6.91,2415.6,<0.60,<0.34,,4400,60,81.6,95.7,207,3300,51.9,<10,1.18,0.706,66.8,<10,4.65,-55.52,-5.94,158.6,,<2.22,
296,L10004438026,PW-01 (18-03-2253-1),Wastewater discharge point (appears to be PW-01),CHICO-MARTINEZ,"CHICO-MARTINEZ OIL FIELD, MITCHEL LEASE",Kern,3/26/2018,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/3219937264/L10004438026.PDF,PDF,"RL, PQL",NAD 83,35.441618,-119.78819,DERIVED LOCATION OF DISCHARGE VALVE (APPROXIMATE SAMPLING LOCATION),2000,2000,<1.0,<1.0,,15000,7840,,9.27,2440,<0.60,<0.34,,4000,34,67.5,71.6,198,3200,43.5,<10,1.3,<0.5,58.8,<10,4.54,-55.63,-5.19,158.6,,<2.22,
297,L10007494132,P-12 Effluent (1804131-01),P-12 Pond Effluent (MCK 1-3),BELGIAN ANTICLINE,"BELGIAN ANTICLINE, MCKITTRICK 1 & 1-3 FACILITY",Kern,9/20/2018,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/3087552011/L10007494132.PDF,PDF,MDL,NAD 83,35.386882,-119.64881,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),680,680,<3.3,<3.3,,27000,18000,,7.85,829.6,<1.98,<1.12,,9900,140,280,98,110,5600,70,73,4.3,<0.25,150,190,8.8,-44.6,-2.1,99,100,<4.4,22
298,L10007494132,P-2 Influent (1901196-02),P-2 Pond Influent (MCK 1-3),BELGIAN ANTICLINE,"BELGIAN ANTICLINE, MCKITTRICK 1 & 1-3 FACILITY",Kern,2/28/2019,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/1350531458/L10007494132.PDF,PDF,MDL,NAD 83,35.38473,-119.650698,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),950,950,<3.3,<3.3,,20000,13000,,7.6,1159,<1.98,<1.12,,7000,280,180,74,65,4900,49,27,2.1,0.038,150,100,4.9,-66.8,-6.65,91,95,<8.8,38
299,L10007494132,P-2 Influent (1804131-02),P-2 Pond Influent (MCK 1-3),BELGIAN ANTICLINE,"BELGIAN ANTICLINE, MCKITTRICK 1 & 1-3 FACILITY",Kern,9/20/2018,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/3087552011/L10007494132.PDF,PDF,MDL,NAD 83,35.38473,-119.650698,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),700,700,<3.3,<3.3,,21000,13000,,7.63,854,<1.98,<1.12,,7200,79,200,71,95,4300,61,56,3.5,0.61,120,120,6.7,-52.2,-4.49,120,120,<4.4,130
300,L10007494132,P-22 Effluent (1901196-01),P-22 Pond Effluent (MCK 1-3),BELGIAN ANTICLINE,"BELGIAN ANTICLINE, MCKITTRICK 1 & 1-3 FACILITY",Kern,2/28/2019,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/1350531458/L10007494132.PDF,PDF,MDL,NAD 83,35.389034,-119.646793,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),970,970,<3.3,<3.3,,23000,14000,,7.88,1183.4,<1.98,<1.12,,8500,290,230,86,64,5200,48,30,2.8,0.096,200,110,6,-65.2,-6.4,86,88,<8.8,24
301,L10007494132,P-7 Effluent (1805065-05),P-7 Pond Effluent (MCK 1-3),BELGIAN ANTICLINE,"BELGIAN ANTICLINE, MCKITTRICK 1 & 1-3 FACILITY",Kern,11/13/2018,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/3087552011/L10007494132.PDF,PDF,MDL,NAD 83,35.386077,-119.65029,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),840,840,<3.3,<3.3,,24000,16000,,7.75,1024.8,<1.98,<1.12,,8600,200,260,88,87,5200,57,37,3.6,0.2,250,94,7.1,-58.5,-4.61,100,100,<8.8,26
302,L10007494132,P-2 Influent (1805065-06),P-2 Pond Influent (MCK 1-3),BELGIAN ANTICLINE,"BELGIAN ANTICLINE, MCKITTRICK 1 & 1-3 FACILITY",Kern,11/13/2018,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/3087552011/L10007494132.PDF,PDF,MDL,NAD 83,35.38473,-119.650698,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),850,850,<3.3,<3.3,,23000,14000,,7.55,1037,<1.98,<1.12,,8000,190,260,85,85,5000,53,31,3.3,0.15,240,81,6.8,-64.4,-6.08,100,110,<8.8,110
303,SL0602961924,Final Impoundment,Wastewater Final Impoundment,LOST HILLS,"LOST HILLS OIL FIELD, SECTION 29 LEASE",Kern,5/19/2006,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/9734274625/SL0602961924.PDF,PDF,,NAD 83,35.638985,-119.729307,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),3700,3300,400,<10,,36000,22000,,,4026,240,<3.4,,11000,80,33,130,270,8000,96,,,,,,,,,,,<10,
304,SL0602961924,Final Impoundment,Wastewater Final Impoundment,LOST HILLS,"LOST HILLS OIL FIELD, SECTION 29 LEASE",Kern,11/2/2006,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/9734274625/SL0602961924.PDF,PDF,,NAD 83,35.638985,-119.729307,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),3900,3900,<2.0,<2.0,,41000,24000,,,4758,<1.2,<0.68,,13000,61,30,120,420,8700,100,,,,,,,,,,,<4.87,
305,SL0602961924,Final Impoundment,Wastewater Final Impoundment,LOST HILLS,"LOST HILLS OIL FIELD, SECTION 29 LEASE",Kern,5/17/2007,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/9734274625/SL0602961924.PDF,PDF,,NAD 83,35.638985,-119.729307,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),3200,3100,120,<2.0,,44000,28000,,,3782,72,<0.68,,11000,100,46,140,290,8600,110,,,,,,,,,,,34.085128,
306,SL0602961924,Final Impoundment,Wastewater Final Impoundment,LOST HILLS,"LOST HILLS OIL FIELD, SECTION 29 LEASE",Kern,11/5/2007,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/9734274625/SL0602961924.PDF,PDF,,NAD 83,35.638985,-119.729307,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),3500,3500,<2.0,<2.0,,41000,22000,,,4270,<1.2,<0.68,,11000,78,74,130,340,7300,88,,,,,,,,,,,<19,
307,SL0602961924,Final Impoundment,Wastewater Final Impoundment,LOST HILLS,"LOST HILLS OIL FIELD, SECTION 29 LEASE",Kern,5/15/2008,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/9734274625/SL0602961924.PDF,PDF,,NAD 83,35.638985,-119.729307,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),6700,6700,<2.0,<2.0,,31000,14000,,,8174,<1.2,<0.68,,11000,72,23,130,330,7700,90,,,,,,,,,,,<4.87,
308,SL0602961924,Influent,Wastewater Influent,LOST HILLS,"LOST HILLS OIL FIELD, SECTION 29 LEASE",Kern,5/19/2006,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/9734274625/SL0602961924.PDF,PDF,,NAD 83,35.643544,-119.733504,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),4100,4100,<10,<10,,37000,21000,,,5002,<6.0,<3.4,,9800,21,160,130,290,7800,89,,,,,,,,,,,<10,
309,SL0602961924,Influent,Wastewater Influent,LOST HILLS,"LOST HILLS OIL FIELD, SECTION 29 LEASE",Kern,11/2/2006,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/9734274625/SL0602961924.PDF,PDF,,NAD 83,35.643544,-119.733504,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),4000,4000,<2.0,<2.0,,34000,17000,,,4880,<1.2,<0.68,,9900,26,150,120,320,7000,86,,,,,,,,,,,3.098648,
310,SL0602961924,Influent,Wastewater Influent,LOST HILLS,"LOST HILLS OIL FIELD, SECTION 29 LEASE",Kern,5/17/2007,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/9734274625/SL0602961924.PDF,PDF,,NAD 83,35.643544,-119.733504,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),3200,3200,<2.0,<2.0,,34000,18000,,,3904,<1.2,<0.68,,7900,100,150,110,200,6100,79,,,,,,,,,,,<2.44,
311,SL0602961924,Influent,Wastewater Influent,LOST HILLS,"LOST HILLS OIL FIELD, SECTION 29 LEASE",Kern,11/5/2007,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/9734274625/SL0602961924.PDF,PDF,,NAD 83,35.643544,-119.733504,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),4100,4100,<2.0,<2.0,,32000,20000,,,5002,<1.2,<0.68,,8700,43,150,120,260,7900,98,,,,,,,,,,,<19,
